t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1421319877,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319882,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319887,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319892,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319897,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319902,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319907,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319912,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319917,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319922,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319927,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319932,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319937,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319942,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319947,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319952,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319957,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319962,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319967,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319972,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319977,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319982,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319987,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319992,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319997,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320002,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320007,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320012,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320017,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320022,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320027,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320032,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320037,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421320042,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
